id,ime,letnica_rojstva,drzava_rojstva,stevilo_iger_v_bazi,zacetek,konec,zmage,porazi,remiji,delez_zmag,kvaliteta
133424,G Franchini,1978,Italy,28,2001,2015,1,18,9,19.6,2222
52963,R Solaroli,1969,Italy,23,2001,2019,1,19,3,10.9,1782
52973,O Normann,1965,Norway,5,2000,2003,3,1,1,70.0,1940
12446,A G R Moen,1979,Norway,153,1996,2019,55,59,39,48.7,2313
88053,P Soln,1978,Slovenia,94,1991,2012,31,26,37,52.7,2381
55035,P Haas,1968,Germany,3,2001,2001,,,,,2076
53834,R Wukits,1972,Austria,27,1997,2013,4,13,10,33.3,2312
26913,A Villavicencio,1961,Spain,39,1989,2012,7,16,16,38.5,2300
53543,J C Mas Garces,1956,Spain,1,2001,2001,,,,,2153
17719,S Martinovic,1945,Yugoslavia,268,1963,2012,73,97,98,45.5,2381
48930,D Trifunovic,1928,Yugoslavia,32,1991,2005,8,19,5,32.8,1952
54573,V Jakovljevic,1975,Bosnia and Herzegovina,96,2000,2013,29,31,36,49.0,2330
27276,G Milosevic,1964,Yugoslavia,26,1989,2013,4,14,8,30.8,2291
55041,Ulf Bartl,1970,Germany,2,2001,2001,,,,,1922
55028,M Schneider,1965,Austria,7,2001,2001,4,3,0,57.1,2054
92002,A Drinovec,1965,Slovenia,9,1998,2001,3,4,2,44.4,2106
53625,F A Perrier,1968,Spain,3,2001,2001,,,,,2168
117207,L Rofes,1974,Spain,27,1997,2012,7,13,7,38.9,2302
64696,Baklan,,,521,1992,2018,197,47,259,64.9,2587
54429,S Zhigalko,1989,Belarus,"1,038",2001,2019,247,99,335,60.9,2572
53094,B Roselli Mailhe,1965,Uruguay,241,1984,2020,89,75,63,53.1,2429
61386,Alexander Hernandez,1976,Venezuela,29,1995,2013,9,13,7,43.1,2132
53082,W A Rodriguez,1983,Colombia,10,2001,2001,5,4,1,55.0,2189
50539,J Estrada Nieto,1972,Mexico,137,1960,2020,32,54,51,42.0,2280
53025,T D R Pieris,1958,Sri Lanka,12,1986,2002,1,8,3,20.8,1880
11546,T Rahman,1976,Bangladesh,72,1991,2016,18,33,21,39.6,2215
54486,Eidelson,1958,Belarus,29,1977,2009,10,10,9,50.0,2065
54453,B Machaj,1986,Poland,7,2001,2001,0,2,5,35.7,2102
54456,F Kuznetsov,1920,Russia,9,1999,2001,1,5,3,27.8,1911
54515,A Kohut,1987,Poland,11,1999,2017,3,7,1,31.8,2000
53974,M Dhar,1977,India,10,2001,2011,2,5,3,35.0,1878
54434,J T Zezulkin,1971,Belarus,75,1992,2008,21,20,28,50.7,2410
