indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1926653,A Arab vs Gerda Ne,79493,ka,161211,1-0,11,2018,Chess Olympiad</a>,E71,"King's Indian, Makagonov System (5.h3)"
1928124,S Jacimovic,134784,Uvika Essoo,161434,1-0,14,2018,Chess Olympiad (Women)</a>,D00,Queen's Pawn Game
1926753,Elmer Prudente,161267,N A Hussein,22727,0-1,1,2018,Chess Olympiad</a>,B02,Alekhine's Defense
1928137,Salome Langue,161447,H Toubal,66616,0-1,14,2018,Chess Olympiad (Women)</a>,D00,Queen's Pawn Game
1928148,Patricia Santo Soares,161464,Imogen A L Camp,155408,0-1,15,2018,Chess Olympiad (Women)</a>,C26,Vienna
1928112,Ndriqona Saraci,161421,T Parveen,30678,0-1,15,2018,Chess Olympiad (Women)</a>,C45,Scotch Game
1928403,Aamirah Beekhy,161432,D Premanath,127619,0-1,15,2018,Chess Olympiad (Women)</a>,D02,Queen's Pawn Game
1928428,M Williams,127493,Mariama Krubally,161461,1-0,9,2018,Chess Olympiad (Women)</a>,D02,Queen's Pawn Game
1928429,Onkemetse Francis,150861,Josiane Nzi,161493,1-0,9,2018,Chess Olympiad (Women)</a>,C42,Petrov Defense
1928384,Alshaeby Razan,140251,Etedal Almeraj,155487,1-0,14,2018,Chess Olympiad (Women)</a>,C44,King's Pawn Game
1928420,Salome Langue,161447,Ibrahimi Khadija,155551,0-1,6,2018,Chess Olympiad (Women)</a>,C20,King's Pawn Game
1928425,Fatou Jabbie,161458,A Barrett,127490,0-1,9,2018,Chess Olympiad (Women)</a>,C20,King's Pawn Game
1928729,Serray Jallow,161460,Sujana Lohani,155570,0-1,14,2018,Chess Olympiad (Women)</a>,B06,Robatsch
1929018,Asha Kondo,161442,Hanielle Ntsame Nguema Sajoux,161454,1-0,9,2018,Chess Olympiad (Women)</a>,C41,Philidor Defense
1928996,Sasha Mongeli,161477,Fatou Diankha,161468,1-0,11,2018,Chess Olympiad (Women)</a>,C42,Petrov Defense
1928994,Lucy Wanjiru,161380,Binta Sy Mame,161466,1-0,14,2018,Chess Olympiad (Women)</a>,C41,Philidor Defense
1929002,Marie Yavo Tchetche,161495,Adiratu Kamara,155513,1-0,15,2018,Chess Olympiad (Women)</a>,D20,Queen's Gambit Accepted
1931504,Joan Gemota,161396,Fatou Jabbie,161458,1-0,4,2018,Chess Olympiad (Women)</a>,B00,Uncommon King's Pawn Opening
